transaction_id,procedure_id,trans_group_id,trans_group_en,procedure_name_en,instance_date,property_type_id,property_type_en,property_sub_type_id,property_sub_type_en,property_usage_en,reg_type_id,reg_type_en,area_id,area_name_en,building_name_en,project_number,project_name_en,master_project_en,nearest_landmark_en,nearest_metro_en,nearest_mall_en,rooms_en,has_parking,procedure_area,actual_worth,meter_sale_price,rent_value,meter_rent_price,no_of_parties_role_1,no_of_parties_role_2,no_of_parties_role_3,month_year,month,season
2-110-2012-2088,110,2,Mortgages,Lease to Own Registration,2012-12-27,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,ROYAL OCEANIC-1,256.0,ROYAL OCEANIC TOWER,Dubai Marina,Burj Al Arab,Jumeirah Beach Resdency,Marina Mall,Studio,1,51.97,560000.0,10775.45,560000.0,10775.0,2.0,2.0,2.0,2012-12,12,Winter
2-44-2021-949,44,2,Mortgages,Mortgage Transfer,2021-01-14,4,Villa,,,Commercial,1,Existing Properties,343,Al Warsan First,,1384.0,WARSAN VILLAGE A,International City Phase 1,,Rashidiya Metro Station,City Centre Mirdif,,0,154.0,775000.0,5032.47,,,1.0,1.0,0.0,2021-01,1,Winter
2-13-2021-13988,13,2,Mortgages,Mortgage Registration,2021-11-08,1,Land,,,Other,1,Existing Properties,337,Nad Al Shiba Third,,,,Nad Al Shiba Villas,,Creek Metro Station,City Centre Mirdif,,0,470.1,2743000.0,5834.93,,,1.0,1.0,0.0,2021-11,11,Autumn
2-13-2013-6276,13,2,Mortgages,Mortgage Registration,2013-09-12,4,Villa,,,Commercial,1,Existing Properties,435,Al Hebiah Fourth,,450.0,VICTORY HEIGHTS,Dubai Sports City,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,,0,563.39,3850000.0,6833.63,,,1.0,1.0,0.0,2013-09,9,Autumn
1-11-2019-7370,11,1,Sales,Sell,2019-08-08,3,Unit,60.0,Flat,Residential,1,Existing Properties,435,Al Hebiah Fourth,GRAND HORIZON 1,1135.0,GRAND HORIZON 1,Dubai Sports City,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,1 B/R,1,88.57,900000.0,10161.45,,,1.0,1.0,0.0,2019-08,8,Summer
2-13-2016-8419,13,2,Mortgages,Mortgage Registration,2016-11-15,4,Villa,4.0,Villa,Residential,1,Existing Properties,352,Al Thanayah Fourth,,,,Springs - 5,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,2 B/R,0,247.49,1500000.0,6060.85,,,1.0,1.0,0.0,2016-11,11,Autumn
1-11-2013-22234,11,1,Sales,Sell,2013-07-18,4,Villa,,,Residential,1,Existing Properties,434,Wadi Al Safa 6,,,,Arabian Ranches - Mirador,Global Village,,,,0,750.75,5725000.0,7625.71,,,2.0,2.0,0.0,2013-07,7,Summer
1-102-2017-23770,102,1,Sales,Sell - Pre registration,2017-12-07,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,526,Business Bay,AYKON CITY (2) -TOWER C,1746.0,AYKON CITY 2,,Downtown Dubai,Business Bay Metro Station,Dubai Mall,2 B/R,1,76.44,1345100.0,17596.81,,,1.0,2.0,0.0,2017-12,12,Winter
2-49-2023-3,49,2,Mortgages,Portfolio Mortgage Modification,2023-01-03,1,Land,,,Residential,1,Existing Properties,364,Al Wasl,,,,City Walk,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,,0,237.89,23924948.0,100571.47,,,9.0,1.0,0.0,2023-01,1,Winter
1-11-2019-10246,11,1,Sales,Sell,2019-11-12,4,Villa,,,Residential,1,Existing Properties,335,Nad Al Shiba First,,1341.0,MILLENNIUM ESTATES,,Downtown Dubai,Business Bay Metro Station,Dubai Mall,,0,1393.31,7200000.0,5167.55,,,1.0,1.0,0.0,2019-11,11,Autumn
1-102-2023-29648,102,1,Sales,Sell - Pre registration,2023-06-20,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,441,Al Barsha South Fourth,Binghatti Onyx,2610.0,Binghatti Onyx,Jumeirah Village Circle,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,2 B/R,1,157.67,1750000.0,11099.13,,,1.0,1.0,0.0,2023-06,6,Summer
1-102-2022-18499,102,1,Sales,Sell - Pre registration,2022-07-06,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,364,Al Wasl,Myrtle,2381.0,Myrtle,City Walk,,,,1 B/R,1,62.68,1246000.0,19878.75,,,1.0,1.0,0.0,2022-07,7,Summer
1-102-2022-44001,102,1,Sales,Sell - Pre registration,2022-12-29,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,445,Jabal Ali First,GEMZ by Danube,2395.0,GEMZ by Danube ,Al Furjan,,,,1 B/R,1,91.09,1000000.0,10978.15,,,1.0,1.0,0.0,2022-12,12,Winter
1-11-2015-3445,11,1,Sales,Sell,2015-02-23,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,BOTANICA TOWER-1,297.0,BOTANICA,Dubai Marina,Burj Al Arab,Dubai Marina,Marina Mall,Studio,1,43.81,800000.0,18260.67,,,1.0,1.0,0.0,2015-02,2,Winter
1-102-2019-13335,102,1,Sales,Sell - Pre registration,2019-08-29,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,464,Wadi Al Safa 2,GATE ZONE,2132.0,"Q-Zone (Qpoint - Phase III), MU005&6",Liwan,IMG World Adventures,,,1 B/R,1,68.44,294676.0,4305.61,,,1.0,1.0,0.0,2019-08,8,Summer
1-11-2009-220012,11,1,Sales,Sell,2009-11-25,3,Unit,60.0,Flat,Residential,1,Existing Properties,445,Jabal Ali First,MOG 193,,,Discovery Gardens,Sports City Swimming Academy,Harbour Tower,Ibn-e-Battuta Mall,Studio,0,51.0,330000.0,6470.59,,,1.0,2.0,0.0,2009-11,11,Autumn
1-11-2021-6815,11,1,Sales,Sell,2021-04-27,4,Villa,,,Residential,1,Existing Properties,313,Al Saffa First,,,,,Downtown Dubai,Noor Bank Metro Station,Dubai Mall,,0,1393.55,2800000.0,2009.26,,,1.0,1.0,0.0,2021-04,4,Spring
1-110-2018-529,110,1,Sales,Lease to Own Registration,2018-08-13,4,Villa,,,Commercial,1,Existing Properties,352,Al Thanayah Fourth,,,,Meadows 3,Sports City Swimming Academy,Damac Properties,Marina Mall,,0,540.32,4015000.0,7430.78,,,2.0,2.0,4.0,2018-08,8,Summer
1-102-2007-28858,102,1,Sales,Sell - Pre registration,2009-08-10,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,330,Marsa Dubai,ELITE RESIDENCE,227.0,ELITE RESIDENCE,Dubai Marina,Burj Al Arab,Mina Seyahi,Marina Mall,1 B/R,1,76.72,1434071.0,18692.27,,,1.0,2.0,0.0,2009-08,8,Summer
1-11-2017-11076,11,1,Sales,Sell,2017-08-29,3,Unit,60.0,Flat,Residential,1,Existing Properties,410,Palm Jumeirah,FIVE AT PALM JUMEIRAH DUBAI,1344.0,VICEROY HOTEL RESORTS RESIDENCES,Palm Jumeirah,Burj Al Arab,Palm Jumeirah,Marina Mall,2 B/R,1,152.88,4750000.0,31070.12,,,1.0,1.0,0.0,2017-08,8,Summer
1-102-2023-18837,102,1,Sales,Sell - Pre registration,2023-04-19,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,441,Al Barsha South Fourth,AVANOS,2301.0,AVANOS,Jumeirah Village Circle,Sports City Swimming Academy,Dubai Internet City,Mall of the Emirates,2 B/R,1,102.62,986401.0,9612.17,,,1.0,2.0,0.0,2023-04,4,Spring
1-102-2014-7312,102,1,Sales,Sell - Pre registration,2014-06-26,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,441,Al Barsha South Fourth,HANOVER SQUARE,635.0,HANOVER SQUARE,Jumeirah Village Circle,Sports City Swimming Academy,Dubai Internet City,Mall of the Emirates,Studio,1,32.77,370000.0,11290.81,,,1.0,1.0,0.0,2014-06,6,Summer
1-102-2005-2861,102,1,Sales,Sell - Pre registration,2009-04-27,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,330,Marsa Dubai,Marina Pinnacle,817.0,MARINA PINNACLE,Dubai Marina,Burj Al Arab,Mina Seyahi,Marina Mall,1 B/R,1,71.97,755000.0,10490.48,,,1.0,1.0,0.0,2009-04,4,Spring
1-102-2014-13150,102,1,Sales,Sell - Pre registration,2014-10-28,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,351,Al Thanyah Third,GR PANORAMA,1315.0,PANORAMA,,Burj Al Arab,Nakheel Metro Station,Marina Mall,3 B/R,1,190.07,1854038.0,9754.5,,,1.0,1.0,0.0,2014-10,10,Autumn
1-102-2014-1533,102,1,Sales,Sell - Pre registration,2014-03-03,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,485,Me'Aisem First,LAKESIDE D,436.0,LAKESIDE,International Media Production Zone,Sports City Swimming Academy,Damac Properties,Marina Mall,1 B/R,1,76.83,828400.0,10782.25,,,1.0,1.0,0.0,2014-03,3,Spring
2-13-2020-3333,13,2,Mortgages,Mortgage Registration,2020-05-06,2,Building,,,Residential,1,Existing Properties,232,Mirdif,,,,,Dubai International Airport,Rashidiya Metro Station,City Centre Mirdif,,0,1858.06,7711300.0,4150.19,,,1.0,1.0,0.0,2020-05,5,Spring
1-102-2005-4020,102,1,Sales,Sell - Pre registration,2009-06-08,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,350,Al Thanyah Fifth,AL SEEF 2,48.0,AL SEEF II,Jumeirah Lakes Towers,Burj Al Arab,Damac Properties,Marina Mall,2 B/R,1,189.89,1379700.0,7265.79,,,1.0,1.0,0.0,2009-06,6,Summer
1-41-2021-2318,41,1,Sales,Delayed Sell,2021-03-09,3,Unit,60.0,Flat,Residential,1,Existing Properties,414,Al Barshaa South Second,BELLA ROSE,2099.0,BELLA ROSE,Dubiotech,Motor City,First Abu Dhabi Bank Metro Station,Mall of the Emirates,1 B/R,1,62.7,740674.0,11812.98,,,1.0,1.0,0.0,2021-03,3,Spring
1-41-2015-82,41,1,Sales,Delayed Sell,2015-01-08,4,Villa,,,Residential,1,Existing Properties,449,Al Yufrah 2,,1550.0,DAMAC HILLS (2) - JUNIPER,DAMAC HILLS 2,Dubai Cycling Course,,,,0,174.8,1649200.0,9434.78,,,1.0,1.0,0.0,2015-01,1,Winter
1-11-2010-13372,11,1,Sales,Sell,2010-08-26,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,Amwaj 4,,,Jumeriah Beach Residence  - JBR,Burj Al Arab,Jumeirah Beach Residency,Marina Mall,2 B/R,1,59.3,650000.0,10961.21,,,1.0,1.0,0.0,2010-08,8,Summer
1-11-2015-15894,11,1,Sales,Sell,2015-12-17,3,Unit,60.0,Flat,Residential,1,Existing Properties,350,Al Thanyah Fifth,Lakepoint N2,,,Jumeirah Lakes Towers,Sports City Swimming Academy,Jumeirah Lakes Towers,Marina Mall,2 B/R,1,147.7,1162144.0,7868.27,,,1.0,1.0,0.0,2015-12,12,Winter
1-102-2020-2089,102,1,Sales,Sell - Pre registration,2020-02-10,4,Villa,4.0,Villa,Residential,0,Off-Plan Properties,467,Wadi Al Safa 5,,2142.0,Arabian Ranches III - JOY,,Hamdan Sports Complex,,,3 B/R,0,141.7,1462888.0,10323.84,,,1.0,1.0,0.0,2020-02,2,Winter
1-102-2021-18054,102,1,Sales,Sell - Pre registration,2021-10-07,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,317,Jumeirah First,La Sirene - Building 2,2264.0,Port De La Mer - La Sirene,,Burj Khalifa,Trade Centre Metro Station,Dubai Mall,1 B/R,1,74.65,1974000.0,26443.4,,,1.0,1.0,0.0,2021-10,10,Autumn
1-41-2015-1963,41,1,Sales,Delayed Sell,2015-04-16,4,Villa,,,Residential,1,Existing Properties,412,Al Merkadh,,1366.0,"MOHAMMED BIN RASHID AL MAKTOUM CITY- DISTRICT ONE, PHASE 1",,Downtown Dubai,Business Bay Metro Station,Dubai Mall,,0,1382.41,15884540.0,11490.47,,,1.0,1.0,0.0,2015-04,4,Spring
1-102-2019-11205,102,1,Sales,Sell - Pre registration,2019-07-22,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,482,Hadaeq Sheikh Mohammed Bin Rashid,Socio Tower 2,2028.0,Socio,DUBAI HILLS,Burj Al Arab,First Abu Dhabi Bank Metro Station,Mall of the Emirates,2 B/R,1,68.89,997530.0,14480.04,,,1.0,1.0,0.0,2019-07,7,Summer
1-102-2015-12352,102,1,Sales,Sell - Pre registration,2015-09-07,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,441,Al Barsha South Fourth,HANOVER SQUARE,635.0,HANOVER SQUARE,Jumeirah Village Circle,Sports City Swimming Academy,Dubai Internet City,Mall of the Emirates,1 B/R,1,63.64,740804.0,11640.54,,,1.0,1.0,0.0,2015-09,9,Autumn
1-102-2022-27985,102,1,Sales,Sell - Pre registration,2022-09-20,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,364,Al Wasl,CF8,2363.0,Canal Front Residences-CF7 & CF8 & CF9,,Burj Khalifa,Business Bay Metro Station,Dubai Mall,1 B/R,1,93.6,2070800.0,22123.93,,,1.0,1.0,0.0,2022-09,9,Autumn
1-11-2022-9810,11,1,Sales,Sell,2022-05-12,3,Unit,60.0,Flat,Residential,1,Existing Properties,467,Wadi Al Safa 5,Skycourts Tower D,794.0,SKY COURTS,Residential Complex,IMG World Adventures,,,1 B/R,1,78.29,348000.0,4445.01,,,1.0,1.0,0.0,2022-05,5,Spring
1-11-2014-19424,11,1,Sales,Sell,2014-08-20,3,Unit,60.0,Flat,Residential,1,Existing Properties,526,Business Bay,Executive Bay-A,1263.0,EXECUTIVE BAY B,Business Bay,Downtown Dubai,Business Bay Metro Station,Dubai Mall,2 B/R,1,103.72,1249600.0,12047.82,,,1.0,1.0,0.0,2014-08,8,Summer
3-9-2021-2904,9,3,Gifts,Grant,2021-11-17,3,Unit,60.0,Flat,Residential,1,Existing Properties,390,Burj Khalifa,Boulevard Point,1405.0,Boulevard Point,Burj Khalifa,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,3 B/R,1,169.18,3897988.0,23040.48,,,1.0,1.0,0.0,2021-11,11,Autumn
1-110-2011-742,110,1,Sales,Lease to Own Registration,2011-03-28,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,Bahar 1,,,Jumeriah Beach Residence  - JBR,Burj Al Arab,Jumeirah Beach Resdency,Marina Mall,1 B/R,1,111.3,1260000.0,11320.75,,,2.0,2.0,2.0,2011-03,3,Spring
1-102-2014-15022,102,1,Sales,Sell - Pre registration,2014-12-01,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,482,Hadaeq Sheikh Mohammed Bin Rashid,MULBERRY II at PARK HEIGHTS Building A2,1489.0,MULBERRY at PARK HEIGHTS,DUBAI HILLS - PARK,Burj Al Arab,First Abu Dhabi Bank Metro Station,Mall of the Emirates,2 B/R,1,121.53,1757888.0,14464.64,,,1.0,2.0,0.0,2014-12,12,Winter
1-102-2013-7602,102,1,Sales,Sell - Pre registration,2013-09-27,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,441,Al Barsha South Fourth,DIAMOND VIEWS 1,223.0,DIAMOND VIEWS 1,Jumeirah Village Circle,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,Studio,1,37.38,273584.0,7318.99,,,1.0,1.0,0.0,2013-09,9,Autumn
1-11-2012-12467,11,1,Sales,Sell,2012-07-09,3,Unit,60.0,Flat,Residential,1,Existing Properties,343,Al Warsan First,GLOBAL GREEN VIEW,,,International City Phase 1,,Rashidiya Metro Station,City Centre Mirdif,3 B/R,1,117.06,1250000.0,10678.28,,,1.0,3.0,0.0,2012-07,7,Summer
1-102-2021-2923,102,1,Sales,Sell - Pre registration,2021-03-11,3,Unit,101.0,Hotel Apartment,Hospitality ,0,Off-Plan Properties,410,Palm Jumeirah,SEVEN HOTEL & APARTMENTS THE PALM,1962.0,Seven Hotel and Apartments The Palm,Palm Jumeirah,Burj Al Arab,Palm Jumeirah,Marina Mall,1 B/R,1,74.34,1197927.0,16114.16,,,1.0,1.0,0.0,2021-03,3,Spring
1-11-2011-16163,11,1,Sales,Sell,2011-10-24,3,Unit,60.0,Flat,Residential,1,Existing Properties,350,Al Thanyah Fifth,DUBAI GATE ONE,407.0,NEW DUBAI GATE1,Jumeirah Lakes Towers,Burj Al Arab,Marina Mall Metro Station,Marina Mall,4 B/R,1,246.95,2694144.0,10909.67,,,1.0,1.0,0.0,2011-10,10,Autumn
1-133-2013-591,133,1,Sales,Development Registration,2013-04-15,2,Building,,,Commercial,1,Existing Properties,459,Dubai Investment Park Second,,,,Dubai Investment Park Second,Expo 2020 Site,,,,0,3500.0,37674.0,10.76,,,1.0,1.0,0.0,2013-04,4,Spring
1-11-2014-1240,11,1,Sales,Sell,2014-01-15,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,Marina Pinnacle,817.0,MARINA PINNACLE,Dubai Marina,Burj Al Arab,Mina Seyahi,Marina Mall,1 B/R,1,70.74,1200000.0,16963.53,,,1.0,1.0,0.0,2014-01,1,Winter
1-11-2009-206059,11,1,Sales,Sell,2009-03-17,3,Unit,60.0,Flat,Residential,1,Existing Properties,343,Al Warsan First,S-21,,,International City Phase 1,,Rashidiya Metro Station,City Centre Mirdif,Studio,0,44.5,199000.0,4471.91,,,1.0,1.0,0.0,2009-03,3,Spring
2-13-2019-1758,13,2,Mortgages,Mortgage Registration,2019-03-18,3,Unit,60.0,Flat,Residential,1,Existing Properties,351,Al Thanyah Third,GOLF TOWERS T1,,,The Greens,Burj Al Arab,Nakheel Metro Station,Marina Mall,3 B/R,1,142.88,1383750.0,9684.7,,,2.0,1.0,0.0,2019-03,3,Spring
2-110-2014-556,110,2,Mortgages,Lease to Own Registration,2014-03-20,4,Villa,,,Commercial,1,Existing Properties,352,Al Thanayah Fourth,,,,Meadows 9,Sports City Swimming Academy,Damac Properties,Marina Mall,,0,551.94,4590000.0,8316.12,4590000.0,8316.0,2.0,2.0,2.0,2014-03,3,Spring
1-102-2016-1690,102,1,Sales,Sell - Pre registration,2016-02-24,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,435,Al Hebiah Fourth,ELITE 10 SPORTS RESIDENCE - 2,1607.0,ELITE 10 SPORTS RESIDENCE,Dubai Sports City,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,1 B/R,1,72.08,835000.0,11584.35,,,1.0,1.0,0.0,2016-02,2,Winter
1-11-2015-12156,11,1,Sales,Sell,2015-07-29,3,Unit,42.0,Office,Commercial,1,Existing Properties,240,Port Saeed,Port Saeed B-2,,,,Dubai International Airport,Deira City Centre,Dubai Mall,Office,1,120.68,2164117.0,17932.69,,,1.0,1.0,0.0,2015-07,7,Summer
1-102-2022-13423,102,1,Sales,Sell - Pre registration,2022-05-25,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,412,Al Merkadh,Wilton Park Residences II,2158.0,WILTON PARK RESIDENCES ,,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,1 B/R,1,65.66,932920.0,14208.35,,,1.0,1.0,0.0,2022-05,5,Spring
1-11-2022-19428,11,1,Sales,Sell,2022-08-15,3,Unit,60.0,Flat,Residential,1,Existing Properties,343,Al Warsan First,X-23,,,International City Phase 1,Dubai International Airport,Rashidiya Metro Station,City Centre Mirdif,1 B/R,0,68.0,260000.0,3823.53,,,1.0,1.0,0.0,2022-08,8,Summer
1-102-2020-4358,102,1,Sales,Sell - Pre registration,2020-03-02,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,330,Marsa Dubai,52|42 Tower 1,1747.0,5242,Dubai Marina,Burj Al Arab,Jumeirah Beach Residency,Marina Mall,2 B/R,1,105.7,2220888.0,21011.24,,,1.0,1.0,0.0,2020-03,3,Spring
1-11-2019-807,11,1,Sales,Sell,2019-01-28,3,Unit,60.0,Flat,Residential,1,Existing Properties,526,Business Bay,EAST HEIGHTS 2,,,Business Bay,Burj Khalifa,Business Bay Metro Station,Dubai Mall,2 B/R,1,141.4,1300000.0,9193.78,,,1.0,1.0,0.0,2019-01,1,Winter
1-41-2021-8225,41,1,Sales,Delayed Sell,2021-08-16,3,Unit,60.0,Flat,Residential,1,Existing Properties,507,Al Yelayiss 2,Hayat Boulevard-1B,1755.0,HAYAT BOULEVARD,TOWN SQUARE,Dubai Cycling Course,,,Studio,1,30.45,425888.0,13986.47,,,1.0,1.0,0.0,2021-08,8,Summer
1-11-2016-6640,11,1,Sales,Sell,2016-06-06,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,OCEAN HEIGHTS,431.0,OCEAN HEIGHTS,Dubai Marina,Burj Al Arab,Mina Seyahi,Marina Mall,1 B/R,1,98.76,1300000.0,13163.22,,,2.0,1.0,0.0,2016-06,6,Summer
2-13-2021-993,13,2,Mortgages,Mortgage Registration,2021-01-26,3,Unit,60.0,Flat,Residential,1,Existing Properties,485,Me'Aisem First,DANIA 2,1731.0,MIDTOWN - DANIA,International Media Production Zone,Sports City Swimming Academy,Harbour Tower,Ibn-e-Battuta Mall,1 B/R,1,60.69,511926.0,8435.1,,,1.0,1.0,0.0,2021-01,1,Winter
1-11-2022-31727,11,1,Sales,Sell,2022-12-14,3,Unit,60.0,Flat,Residential,1,Existing Properties,526,Business Bay,Waves tower,,,Business Bay,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,1 B/R,1,77.99,1300000.0,16668.8,,,1.0,1.0,0.0,2022-12,12,Winter
2-13-2010-2889,13,2,Mortgages,Mortgage Registration,2010-07-05,3,Unit,60.0,Flat,Residential,1,Existing Properties,390,Burj Khalifa,THE RESIDENCES II - BOULEVARD VILLAS,,,Burj Khalifa,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,2 B/R,1,230.4,1730000.0,7508.68,,,1.0,1.0,0.0,2010-07,7,Summer
1-102-2022-36576,102,1,Sales,Sell - Pre registration,2022-11-07,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,482,Hadaeq Sheikh Mohammed Bin Rashid,Lime Gardens,2418.0,Lime Gardens ,DUBAI HILLS - PARK,Motor City,First Abu Dhabi Bank Metro Station,Mall of the Emirates,1 B/R,1,60.26,1130888.0,18766.81,,,1.0,1.0,0.0,2022-11,11,Autumn
1-102-2019-3270,102,1,Sales,Sell - Pre registration,2019-03-07,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,526,Business Bay,REVA RESIDENCES,2018.0,REVA RESIDENCES,,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,1 B/R,1,43.32,857000.0,19783.01,,,1.0,2.0,0.0,2019-03,3,Spring
2-190-2019-450,190,2,Mortgages,Delayed Mortgage,2019-08-29,3,Unit,60.0,Flat,Residential,1,Existing Properties,390,Burj Khalifa,BLVD CRESCENT Tower 1,1494.0,BLVD CRESCENT ,Burj Khalifa,Downtown Dubai,Business Bay Metro Station,Dubai Mall,2 B/R,1,143.33,1500000.0,10465.36,,,1.0,1.0,0.0,2019-08,8,Summer
